experiment,target,representation,model,encoding,n_uploads,n_qubits,n_layers,n_params,n_train,rotation_id,polar_angle,seed,stepsize,train_acc,test_acc,balanced_acc,majority,ceiling,final_loss,wall_time
kernel-spectrum,,,bloch,,,1,,4,,,,,,,0.5004430171682335,,,,,
kernel-spectrum,,,cartesian,,,1,,3,,,,,,,0.35325154023868666,,,,,
kernel-spectrum,,,sincos (torus),,,1,,4,,,,,,,0.6789138331445026,,,,,
kernel-spectrum,,,amplitude (RP^2),,,1,,6,,,,,,,0.3343162326330798,,,,,
kernel-spectrum-spin,,,spin_n1,,,1,,4,,,,,,,0.5004430171682333,,,,,
kernel-spectrum-spin,,,spin_n2,,,2,,9,,,,,,,0.33411035092135155,,,,,
kernel-spectrum-spin,,,spin_n3,,,3,,16,,,,,,,0.25111075378223613,,,,,
kernel-spectrum-spin,,,spin_n4,,,4,,25,,,,,,,0.2014324330111792,,,,,
