ladder,rung,gamma,k
spin,1,2.132878191809774,0.23352554185102847
spin,1,1.5380375268629716,0.5163764705610737
spin,1,2.034591157400987,0.2763273651700737
spin,1,1.17540068630767,0.6925866667459352
spin,1,2.8683052409711083,0.01855558305811784
spin,1,1.268370662642459,0.6489183302333555
spin,1,1.0809289002711986,0.7352544550506918
spin,1,0.9600082363861618,0.7867566194374533
spin,1,1.924580086312088,0.32677514759311926
spin,1,2.47961371225248,0.10561131844021873
spin,1,2.0380805524659706,0.27476834001435674
spin,1,2.8895512726066457,0.015797321259487088
spin,1,1.4481138999042968,0.5611874549940183
spin,1,0.28979712542022174,0.9791509341150288
spin,1,0.8267907266552402,0.8386202520344711
spin,1,1.736480554845511,0.41753638620132866
spin,1,1.4903026498203351,0.5402033911307532
spin,1,1.403840527390759,0.5830906260236258
spin,1,0.5038591549995202,0.93786292703714
spin,1,1.2449439266037285,0.6600582237084421
spin,1,1.3329274876950628,0.6178160053385143
spin,1,0.38341189272448256,0.9636968459440484
spin,1,1.807759775159202,0.38262399142074877
spin,1,1.1991692408627013,0.6815659646660268
spin,1,1.499520488006749,0.5356077521631466
spin,1,1.1742082404447203,0.6931367505953524
spin,1,0.33459862882772445,0.9722710960122645
spin,1,0.6465622127270041,0.8990797961840702
spin,1,1.6780453934678905,0.44647820902515956
spin,1,1.5162094624463076,0.527279879703099
spin,1,2.0174929773857606,0.28400566253896603
spin,1,1.153277140236944,0.7027469986495697
spin,1,1.9842591132495586,0.29910863731886056
spin,1,1.9917588238287403,0.29568044527708753
spin,1,0.6805103183663723,0.8886258664432155
spin,1,2.053419652197745,0.2679477698788302
spin,1,0.9353129737848987,0.7967832894381729
spin,1,1.2879394922667078,0.6395500467255403
spin,1,2.28470374808695,0.17260398662552787
spin,1,1.6072751590753138,0.4817646288049814
spin,1,1.762404965560246,0.4047808299906218
spin,1,0.5424321513988609,0.9282278445992959
spin,1,0.9988542445659244,0.7706330354841405
spin,1,2.4662255861117774,0.10976124047006318
spin,1,0.6453001269519025,0.8994596475504452
spin,1,1.2286994159689426,0.6677316149897543
spin,1,1.1532251229058246,0.7027707728368154
spin,1,1.18825151553952,0.6866412710137596
spin,1,2.295500236128685,0.1685431050471788
spin,1,1.7672060990743825,0.4024253021188506
spin,1,0.6857388246295684,0.886975700684101
spin,1,1.4059628191531208,0.5820440487982746
spin,1,1.2297594541438712,0.6672322146140927
spin,1,0.4238126048416749,0.95576383914946
spin,1,0.8300189819815988,0.837430876274988
spin,1,2.302017672580182,0.16611037349339655
spin,1,1.7816054839360338,0.39537439389218876
spin,1,0.9915974275986819,0.7736768350558838
spin,1,1.6699895618010583,0.4504846751423181
spin,1,0.4704344407413483,0.9456857259056037
spin,1,0.5442521340291133,0.9277573794275668
spin,1,1.9634168358107689,0.30869458025480845
spin,1,2.7610183930018395,0.035774261271960504
spin,1,0.9111105400264013,0.8064342978495483
spin,1,1.4521642428633035,0.5591770084121167
spin,1,1.1997816660408966,0.6812806208109945
spin,1,0.9059436530002796,0.8084715962839816
spin,1,2.3934545323003427,0.13352163569850495
spin,1,1.140099371392274,0.7087521048605631
spin,1,2.015251414412747,0.2850170136552031
spin,1,2.1943417627074386,0.20804147171754503
spin,1,1.957631166129923,0.31137048508596327
spin,1,2.4328471358697943,0.12041050351772928
spin,1,0.8639599035100523,0.8247156886032175
spin,1,2.7473738793886255,0.03835154762074755
spin,1,1.040869712903409,0.7527350108951607
spin,1,2.089533885535245,0.25210791427843565
spin,1,2.171377515898336,0.21743897296429296
spin,1,1.2613944306720444,0.6522444937564363
spin,1,2.804574266286513,0.0281275985724564
spin,1,1.1616054302598418,0.6989335759776981
spin,1,0.8647450140419108,0.8244170816014416
spin,1,1.7478024904201648,0.41195834576705054
spin,1,1.4173806929701998,0.576407267066104
