experiment,target,representation,model,encoding,n_uploads,n_qubits,n_layers,n_params,n_train,rotation_id,polar_angle,seed,stepsize,train_acc,test_acc,balanced_acc,majority,ceiling,final_loss,wall_time
faithfulness-polar,latitude_bands,bloch,VQC,,,,,12,300,polar_0,0.0,2001,,0.8566666666666667,0.86,0.86,0.5,,,
faithfulness-polar,latitude_bands,bloch,VQC,,,,,12,300,polar_0,0.0,2002,,0.89,0.86,0.86,0.5,,,
faithfulness-polar,latitude_bands,cartesian,FFNN(cartesian),,,,,41,300,polar_0,0.0,2000,,0.91,0.83,0.83,0.5,,,
faithfulness-polar,latitude_bands,cartesian,FFNN(cartesian),,,,,41,300,polar_0,0.0,2001,,0.8733333333333333,0.87,0.87,0.5,,,
faithfulness-polar,latitude_bands,cartesian,FFNN(cartesian),,,,,41,300,polar_0,0.0,2002,,0.9033333333333333,0.87,0.87,0.5,,,
faithfulness-polar,latitude_bands,sincos,FFNN(sincos),,,,,49,300,polar_0,0.0,2000,,0.9166666666666666,0.84,0.84,0.5,,,
faithfulness-polar,latitude_bands,sincos,FFNN(sincos),,,,,49,300,polar_0,0.0,2001,,0.8733333333333333,0.87,0.87,0.5,,,
faithfulness-polar,latitude_bands,sincos,FFNN(sincos),,,,,49,300,polar_0,0.0,2002,,0.9066666666666666,0.87,0.87,0.5,,,
faithfulness-polar,latitude_bands,raw,FFNN(raw),,,,,33,300,polar_0,0.0,2000,,0.9166666666666666,0.84,0.84,0.5,,,
faithfulness-polar,latitude_bands,raw,FFNN(raw),,,,,33,300,polar_0,0.0,2001,,0.8766666666666667,0.86,0.86,0.5,,,
faithfulness-polar,latitude_bands,raw,FFNN(raw),,,,,33,300,polar_0,0.0,2002,,0.9066666666666666,0.9,0.9,0.5,,,
faithfulness-polar,latitude_bands,bloch,VQC,,,,,12,300,polar_1,0.2617993877991494,2000,,0.91,0.83,0.8300000000000001,0.5,,,
faithfulness-polar,latitude_bands,bloch,VQC,,,,,12,300,polar_1,0.2617993877991494,2001,,0.8566666666666667,0.86,0.86,0.5,,,
faithfulness-polar,latitude_bands,bloch,VQC,,,,,12,300,polar_1,0.2617993877991494,2002,,0.89,0.86,0.86,0.5,,,
faithfulness-polar,latitude_bands,cartesian,FFNN(cartesian),,,,,41,300,polar_1,0.2617993877991494,2000,,0.91,0.84,0.84,0.5,,,
faithfulness-polar,latitude_bands,cartesian,FFNN(cartesian),,,,,41,300,polar_1,0.2617993877991494,2001,,0.8666666666666667,0.87,0.87,0.5,,,
faithfulness-polar,latitude_bands,cartesian,FFNN(cartesian),,,,,41,300,polar_1,0.2617993877991494,2002,,0.9033333333333333,0.87,0.87,0.5,,,
faithfulness-polar,latitude_bands,sincos,FFNN(sincos),,,,,49,300,polar_1,0.2617993877991494,2000,,0.9133333333333333,0.83,0.83,0.5,,,
faithfulness-polar,latitude_bands,sincos,FFNN(sincos),,,,,49,300,polar_1,0.2617993877991494,2001,,0.8766666666666667,0.86,0.86,0.5,,,
faithfulness-polar,latitude_bands,sincos,FFNN(sincos),,,,,49,300,polar_1,0.2617993877991494,2002,,0.9066666666666666,0.87,0.87,0.5,,,
faithfulness-polar,latitude_bands,raw,FFNN(raw),,,,,33,300,polar_1,0.2617993877991494,2000,,0.8733333333333333,0.78,0.78,0.5,,,
faithfulness-polar,latitude_bands,raw,FFNN(raw),,,,,33,300,polar_1,0.2617993877991494,2001,,0.8666666666666667,0.88,0.88,0.5,,,
faithfulness-polar,latitude_bands,raw,FFNN(raw),,,,,33,300,polar_1,0.2617993877991494,2002,,0.9,0.87,0.87,0.5,,,
faithfulness-polar,latitude_bands,bloch,VQC,,,,,12,300,polar_2,0.5235987755982988,2000,,0.91,0.83,0.8300000000000001,0.5,,,
faithfulness-polar,latitude_bands,bloch,VQC,,,,,12,300,polar_2,0.5235987755982988,2001,,0.8566666666666667,0.86,0.86,0.5,,,
faithfulness-polar,latitude_bands,bloch,VQC,,,,,12,300,polar_2,0.5235987755982988,2002,,0.89,0.86,0.86,0.5,,,
faithfulness-polar,latitude_bands,cartesian,FFNN(cartesian),,,,,41,300,polar_2,0.5235987755982988,2000,,0.9166666666666666,0.83,0.83,0.5,,,
faithfulness-polar,latitude_bands,cartesian,FFNN(cartesian),,,,,41,300,polar_2,0.5235987755982988,2001,,0.87,0.88,0.88,0.5,,,
faithfulness-polar,latitude_bands,cartesian,FFNN(cartesian),,,,,41,300,polar_2,0.5235987755982988,2002,,0.9033333333333333,0.87,0.87,0.5,,,
faithfulness-polar,latitude_bands,sincos,FFNN(sincos),,,,,49,300,polar_2,0.5235987755982988,2000,,0.9166666666666666,0.83,0.83,0.5,,,
faithfulness-polar,latitude_bands,sincos,FFNN(sincos),,,,,49,300,polar_2,0.5235987755982988,2001,,0.8766666666666667,0.86,0.86,0.5,,,
faithfulness-polar,latitude_bands,sincos,FFNN(sincos),,,,,49,300,polar_2,0.5235987755982988,2002,,0.9033333333333333,0.88,0.8799999999999999,0.5,,,
faithfulness-polar,latitude_bands,raw,FFNN(raw),,,,,33,300,polar_2,0.5235987755982988,2000,,0.71,0.64,0.64,0.5,,,
faithfulness-polar,latitude_bands,raw,FFNN(raw),,,,,33,300,polar_2,0.5235987755982988,2001,,0.86,0.88,0.88,0.5,,,
faithfulness-polar,latitude_bands,raw,FFNN(raw),,,,,33,300,polar_2,0.5235987755982988,2002,,0.9066666666666666,0.88,0.8799999999999999,0.5,,,
faithfulness-polar,latitude_bands,bloch,VQC,,,,,12,300,polar_3,0.7853981633974483,2000,,0.91,0.83,0.8300000000000001,0.5,,,
faithfulness-polar,latitude_bands,bloch,VQC,,,,,12,300,polar_3,0.7853981633974483,2001,,0.8566666666666667,0.86,0.86,0.5,,,
faithfulness-polar,latitude_bands,bloch,VQC,,,,,12,300,polar_3,0.7853981633974483,2002,,0.89,0.86,0.86,0.5,,,
faithfulness-polar,latitude_bands,cartesian,FFNN(cartesian),,,,,41,300,polar_3,0.7853981633974483,2000,,0.9233333333333333,0.85,0.85,0.5,,,
faithfulness-polar,latitude_bands,cartesian,FFNN(cartesian),,,,,41,300,polar_3,0.7853981633974483,2001,,0.87,0.87,0.87,0.5,,,
faithfulness-polar,latitude_bands,cartesian,FFNN(cartesian),,,,,41,300,polar_3,0.7853981633974483,2002,,0.9033333333333333,0.88,0.8799999999999999,0.5,,,
faithfulness-polar,latitude_bands,sincos,FFNN(sincos),,,,,49,300,polar_3,0.7853981633974483,2000,,0.9233333333333333,0.84,0.84,0.5,,,
faithfulness-polar,latitude_bands,sincos,FFNN(sincos),,,,,49,300,polar_3,0.7853981633974483,2001,,0.8633333333333333,0.86,0.86,0.5,,,
faithfulness-polar,latitude_bands,sincos,FFNN(sincos),,,,,49,300,polar_3,0.7853981633974483,2002,,0.89,0.88,0.88,0.5,,,
faithfulness-polar,latitude_bands,raw,FFNN(raw),,,,,33,300,polar_3,0.7853981633974483,2000,,0.8833333333333333,0.83,0.8300000000000001,0.5,,,
faithfulness-polar,latitude_bands,raw,FFNN(raw),,,,,33,300,polar_3,0.7853981633974483,2001,,0.85,0.88,0.88,0.5,,,
faithfulness-polar,latitude_bands,raw,FFNN(raw),,,,,33,300,polar_3,0.7853981633974483,2002,,0.9033333333333333,0.88,0.8799999999999999,0.5,,,
faithfulness-polar,latitude_bands,bloch,VQC,,,,,12,300,polar_4,1.0471975511965976,2000,,0.91,0.83,0.8300000000000001,0.5,,,
faithfulness-polar,latitude_bands,bloch,VQC,,,,,12,300,polar_4,1.0471975511965976,2001,,0.8566666666666667,0.86,0.86,0.5,,,
faithfulness-polar,latitude_bands,bloch,VQC,,,,,12,300,polar_4,1.0471975511965976,2002,,0.89,0.86,0.86,0.5,,,
faithfulness-polar,latitude_bands,cartesian,FFNN(cartesian),,,,,41,300,polar_4,1.0471975511965976,2000,,0.9233333333333333,0.85,0.85,0.5,,,
faithfulness-polar,latitude_bands,cartesian,FFNN(cartesian),,,,,41,300,polar_4,1.0471975511965976,2001,,0.87,0.86,0.86,0.5,,,
faithfulness-polar,latitude_bands,cartesian,FFNN(cartesian),,,,,41,300,polar_4,1.0471975511965976,2002,,0.9066666666666666,0.87,0.87,0.5,,,
faithfulness-polar,latitude_bands,sincos,FFNN(sincos),,,,,49,300,polar_4,1.0471975511965976,2000,,0.9333333333333333,0.85,0.85,0.5,,,
faithfulness-polar,latitude_bands,sincos,FFNN(sincos),,,,,49,300,polar_4,1.0471975511965976,2001,,0.8733333333333333,0.86,0.86,0.5,,,
faithfulness-polar,latitude_bands,sincos,FFNN(sincos),,,,,49,300,polar_4,1.0471975511965976,2002,,0.9233333333333333,0.89,0.8899999999999999,0.5,,,
faithfulness-polar,latitude_bands,raw,FFNN(raw),,,,,33,300,polar_4,1.0471975511965976,2000,,0.8533333333333334,0.83,0.8300000000000001,0.5,,,
faithfulness-polar,latitude_bands,raw,FFNN(raw),,,,,33,300,polar_4,1.0471975511965976,2001,,0.84,0.87,0.87,0.5,,,
faithfulness-polar,latitude_bands,raw,FFNN(raw),,,,,33,300,polar_4,1.0471975511965976,2002,,0.86,0.83,0.8300000000000001,0.5,,,
faithfulness-polar,latitude_bands,bloch,VQC,,,,,12,300,polar_5,1.308996938995747,2000,,0.91,0.83,0.8300000000000001,0.5,,,
