experiment,target,representation,model,encoding,n_uploads,n_qubits,n_layers,n_params,n_train,rotation_id,polar_angle,seed,stepsize,train_acc,test_acc,balanced_acc,majority,ceiling,final_loss,wall_time
ceiling,latitude_bands,,,,,1,,,20000,,,,,,0.9828499999999543,0.9828499999999543,0.5,0.9828499999999543,,
ceiling,sphere_moons,,,,,1,,,20000,,,,,,0.9999999999999531,0.9999999999999531,0.5,0.9999999999999531,,
ceiling,tilted_bands,,,,,1,,,20000,,,,,,0.8865499999999593,0.8865499999999593,0.5,0.8865499999999593,,
ceiling,quadrupole,,,,,2,,,20000,,,,,,0.7840499999999848,0.7470878722822235,0.5751,0.7840499999999848,,
ceiling,sectoral,,,,,2,,,20000,,,,,,0.6691499999999813,0.6680997185722579,0.5018,0.6691499999999813,,
ceiling,banded_4,,,,,4,,,20000,,,,,,0.6831999999999849,0.7030320754521431,0.54705,0.6831999999999849,,
ceiling,hyperbolic,,,,,2,,,20000,,,,,,0.6709999999999811,0.6717825485207629,0.502,0.6709999999999811,,
